model_key,data_fraction_pct,status,checkpoint_dir,mean_cumulative_reward,mean_cumulative_reward_all_cells,eval_result_dir
go1_without,0,ok,/workspace/vintix_go2/models/go1_without/go1_without/0001_epoch,15.17217700,15.17217698,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/go1_without/p00
go1_without,10,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/go1_without/p10/0001_epoch,19.27306900,19.27306870,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/go1_without/p10
go1_without,20,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/go1_without/p20/0001_epoch,20.15223700,20.15223720,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/go1_without/p20
go1_without,30,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/go1_without/p30/0001_epoch,20.46412100,20.46412057,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/go1_without/p30
go1_without,40,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/go1_without/p40/0001_epoch,19.50615500,19.50615511,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/go1_without/p40
go1_without,50,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/go1_without/p50/0001_epoch,20.41266100,20.41266115,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/go1_without/p50
go1_without,60,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/go1_without/p60/0001_epoch,20.17265900,20.17265920,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/go1_without/p60
go1_without,70,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/go1_without/p70/0001_epoch,18.53476500,18.53476481,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/go1_without/p70
go1_without,80,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/go1_without/p80/0001_epoch,18.53603700,18.53603680,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/go1_without/p80
go1_without,90,ok,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/checkpoints/go1_without/p90/0001_epoch,19.92659700,19.92659667,/workspace/vintix_go2/experience_decoder_ft_data_fraction_20260517/eval/go1_without/p90
